Pos;Team;Part's;Pld;W;D;L;GF;GA;GD;Pts;Avg Pts;Best finish
65; Egypt;2;4;0;2;2;3;6;-3;2;0.5;First round
66; Kuwait;1;3;0;1;2;2;6;-4;1;0.33;First round
67; Trinidad and Tobago;1;3;0;1;2;0;4;-4;1;0.33;First round
68; Bolivia;3;6;0;1;5;1;20;-19;1;0.17;First round
69; Iraq;1;3;0;0;3;1;4;-3;0;0;First round
70; Togo;1;3;0;0;3;1;6;-5;0;0;First round
71; Canada;1;3;0;0;3;0;5;-5;0;0;First round
72; Indonesia;1;1;0;0;1;0;6;-6;0;0;First round
73; United Arab Emirates;1;3;0;0;3;2;11;-9;0;0;First round
74; China PR;1;3;0;0;3;0;9;-9;0;0;First round
75; Haiti;1;3;0;0;3;2;14;-12;0;0;First round
76; DR Congo;1;3;0;0;3;0;14;-14;0;0;First round
77; El Salvador;2;6;0;0;6;1;22;-21;0;0;First round
78; Iceland;1;–;–;–;–;–;–;–;–;–;–
79; Panama;1;–;–;–;–;–;–;–;–;–;–
